Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MiscellaneousProducts,Edge Chromium 124,,,18-05-2024 18:45:57,18-05-2024 18:48:13,2m - 15.891s,PASSED
,,,,,,,
Test Cases/login,Edge Chromium 124,,,18-05-2024 18:45:57,18-05-2024 18:46:10,12.886s,PASSED
"openBrowser("""")",Edge Chromium 124,,,18-05-2024 18:45:58,18-05-2024 18:46:04,6.353s,PASSED
"navigateToUrl(""https://www.saucedemo.com/v1/"")",Edge Chromium 124,,,18-05-2024 18:46:04,18-05-2024 18:46:06,1.540s,PASSED
"setText(findTestObject(""Object Repository/order/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_db77ac""), ""standard_user"")",Edge Chromium 124,,,18-05-2024 18:46:06,18-05-2024 18:46:07,0.980s,PASSED
"setEncryptedText(findTestObject(""Object Repository/order/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_3423e9""), ""qcu24s4901FyWDTwXGr6XA=="")",Edge Chromium 124,,,18-05-2024 18:46:07,18-05-2024 18:46:07,0.654s,PASSED
"click(findTestObject(""Object Repository/order/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_0dff71""))",Edge Chromium 124,,,18-05-2024 18:46:07,18-05-2024 18:46:08,1.137s,PASSED
"click(findTestObject(""Object Repository/order/Page_Swag Labs/button_Open Menu""))",Edge Chromium 124,,,18-05-2024 18:46:08,18-05-2024 18:46:09,0.440s,PASSED
"click(findTestObject(""Object Repository/order/Page_Swag Labs/a_Logout""))",Edge Chromium 124,,,18-05-2024 18:46:09,18-05-2024 18:46:10,0.752s,PASSED
closeBrowser(),Edge Chromium 124,,,18-05-2024 18:46:10,18-05-2024 18:46:10,0.721s,PASSED
,,,,,,,
Test Cases/orderMultiple,Edge Chromium 124,,,18-05-2024 18:46:10,18-05-2024 18:46:30,19.613s,PASSED
"openBrowser("""")",Edge Chromium 124,,,18-05-2024 18:46:10,18-05-2024 18:46:15,4.950s,PASSED
"navigateToUrl(""https://www.saucedemo.com/v1/"")",Edge Chromium 124,,,18-05-2024 18:46:15,18-05-2024 18:46:17,1.897s,PASSED
