Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_2OrderProducts,Edge Chromium 124,,,18-05-2024 18:41:51,18-05-2024 18:44:00,2m - 9.238s,PASSED
,,,,,,,
Test Cases/orderJpet,Edge Chromium 124,,,18-05-2024 18:41:51,18-05-2024 18:42:11,20.226s,PASSED
"openBrowser("""")",Edge Chromium 124,,,18-05-2024 18:41:52,18-05-2024 18:41:58,6.302s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Edge Chromium 124,,,18-05-2024 18:41:58,18-05-2024 18:41:59,1.494s,PASSED
"click(findTestObject(""Object Repository/orderJpet/Page_JPetStore Demo/a_Enter the Store""))",Edge Chromium 124,,,18-05-2024 18:41:59,18-05-2024 18:42:01,1.627s,PASSED
"click(findTestObject(""Object Repository/orderJpet/Page_JPetStore Demo/a_Sign In""))",Edge Chromium 124,,,18-05-2024 18:42:01,18-05-2024 18:42:02,0.783s,PASSED
"setText(findTestObject(""Object Repository/orderJpet/Page_JPetStore Demo/input_Need a user name and password_username""), ""mohan1"")",Edge Chromium 124,,,18-05-2024 18:42:02,18-05-2024 18:42:03,1.022s,PASSED
"setEncryptedText(findTestObject(""Object Repository/orderJpet/Page_JPetStore Demo/input_Need a user name and password_password""), ""NXt0rM6HQe0="")",Edge Chromium 124,,,18-05-2024 18:42:03,18-05-2024 18:42:04,0.660s,PASSED
"click(findTestObject(""Object Repository/orderJpet/Page_JPetStore Demo/input_Need a user name and password_signon""))",Edge Chromium 124,,,18-05-2024 18:42:04,18-05-2024 18:42:04,0.952s,PASSED
"click(findTestObject(""Object Repository/orderJpet/Page_JPetStore Demo/img""))",Edge Chromium 124,,,18-05-2024 18:42:04,18-05-2024 18:42:05,0.793s,PASSED
"click(findTestObject(""Object Repository/orderJpet/Page_JPetStore Demo/a_FI-SW-01""))",Edge Chromium 124,,,18-05-2024 18:42:05,18-05-2024 18:42:06,0.913s,PASSED
"click(findTestObject(""Object Repository/orderJpet/Page_JPetStore Demo/a_Add to Cart""))",Edge Chromium 124,,,18-05-2024 18:42:06,18-05-2024 18:42:07,0.925s,PASSED
"click(findTestObject(""Object Repository/orderJpet/Page_JPetStore Demo/a_Proceed to Checkout""))",Edge Chromium 124,,,18-05-2024 18:42:07,18-05-2024 18:42:08,0.798s,PASSED
"click(findTestObject(""Object Repository/orderJpet/Page_JPetStore Demo/input_Ship to different address_newOrder""))",Edge Chromium 124,,,18-05-2024 18:42:08,18-05-2024 18:42:09,0.709s,PASSED
"click(findTestObject(""Object Repository/orderJpet/Page_JPetStore Demo/a_Confirm""))",Edge Chromium 124,,,18-05-2024 18:42:09,18-05-2024 18:42:09,0.717s,PASSED
"verifyElementText(findTestObject(""Object Repository/orderJpet/Page_JPetStore Demo/li_Thank you, your order has been submitted""), ""Thank you, your order has been submitted."")",Edge Chromium 124,,,18-05-2024 18:42:09,18-05-2024 18:42:10,0.418s,PASSED
"click(findTestObject(""Object Repository/orderJpet/Page_JPetStore Demo/a_Sign Out""))",Edge Chromium 124,,,18-05-2024 18:42:10,18-05-2024 18:42:11,0.953s,PASSED
closeBrowser(),Edge Chromium 124,,,18-05-2024 18:42:11,18-05-2024 18:42:11,0.768s,PASSED
,,,,,,,
Test Cases/orderMultiple,Edge Chromium 124,,,18-05-2024 18:42:11,18-05-2024 18:42:32,20.145s,PASSED
"openBrowser("""")",Edge Chromium 124,,,18-05-2024 18:42:12,18-05-2024 18:42:17,4.947s,PASSED
"navigateToUrl(""https://www.saucedemo.com/v1/"")",Edge Chromium 124,,,18-05-2024 18:42:17,18-05-2024 18:42:19,2.212s,PASSED
maximizeWindow(),Edge Chromium 124,,,18-05-2024 18:42:19,18-05-2024 18:42:19,0.188s,PASSED
"setText(findTestObject(""Object Repository/orderMultiple2/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_db77ac""), ""standard_user"")",Edge Chromium 124,,,18-05-2024 18:42:19,18-05-2024 18:42:20,0.860s,PASSED
"setEncryptedText(findTestObject(""Object Repository/orderMultiple2/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_3423e9""), ""qcu24s4901FyWDTwXGr6XA=="")",Edge Chromium 124,,,18-05-2024 18:42:20,18-05-2024 18:42:20,0.612s,PASSED
"click(findTestObject(""Object Repository/orderMultiple2/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_0dff71""))",Edge Chromium 124,,,18-05-2024 18:42:20,18-05-2024 18:42:22,1.615s,PASSED
"click(findTestObject(""Object Repository/orderMultiple2/Page_Swag Labs/div_Sauce Labs Backpack""))",Edge Chromium 124,,,18-05-2024 18:42:22,18-05-2024 18:42:23,0.839s,PASSED
"click(findTestObject(""Object Repository/orderMultiple2/Page_Swag Labs/button_ADD TO CART""))",Edge Chromium 124,,,18-05-2024 18:42:23,18-05-2024 18:42:23,0.483s,PASSED
"click(findTestObject(""Object Repository/orderMultiple2/Page_Swag Labs/button_- Back""))",Edge Chromium 124,,,18-05-2024 18:42:23,18-05-2024 18:42:24,0.661s,PASSED
"click(findTestObject(""Object Repository/orderMultiple2/Page_Swag Labs/div_Sauce Labs Bike Light""))",Edge Chromium 124,,,18-05-2024 18:42:24,18-05-2024 18:42:25,0.761s,PASSED
"click(findTestObject(""Object Repository/orderMultiple2/Page_Swag Labs/button_ADD TO CART""))",Edge Chromium 124,,,18-05-2024 18:42:25,18-05-2024 18:42:25,0.494s,PASSED
"click(findTestObject(""Object Repository/orderMultiple2/Page_Swag Labs/svg_Swag Labs_svg-inline--fa fa-shopping-ca_963f6f""))",Edge Chromium 124,,,18-05-2024 18:42:25,18-05-2024 18:42:26,0.753s,PASSED
"click(findTestObject(""Object Repository/orderMultiple2/Page_Swag Labs/a_CHECKOUT""))",Edge Chromium 124,,,18-05-2024 18:42:26,18-05-2024 18:42:27,0.723s,PASSED
"setText(findTestObject(""Object Repository/orderMultiple2/Page_Swag Labs/input_Checkout Your Information_first-name""), ""test1"")",Edge Chromium 124,,,18-05-2024 18:42:27,18-05-2024 18:42:28,0.930s,PASSED
"setText(findTestObject(""Object Repository/orderMultiple2/Page_Swag Labs/input_Checkout Your Information_last-name""), ""test2"")",Edge Chromium 124,,,18-05-2024 18:42:28,18-05-2024 18:42:29,0.970s,PASSED
"setText(findTestObject(""Object Repository/orderMultiple2/Page_Swag Labs/input_Checkout Your Information_postal-code""), ""200345"")",Edge Chromium 124,,,18-05-2024 18:42:29,18-05-2024 18:42:30,0.917s,PASSED
"click(findTestObject(""Object Repository/orderMultiple2/Page_Swag Labs/input_CANCEL_btn_primary cart_button""))",Edge Chromium 124,,,18-05-2024 18:42:30,18-05-2024 18:42:30,0.610s,PASSED
"click(findTestObject(""Object Repository/orderMultiple2/Page_Swag Labs/a_FINISH""))",Edge Chromium 124,,,18-05-2024 18:42:30,18-05-2024 18:42:31,0.757s,PASSED
closeBrowser(),Edge Chromium 124,,,18-05-2024 18:42:31,18-05-2024 18:42:32,0.666s,PASSED
,,,,,,,
Test Cases/TC_1orderproduct,Edge Chromium 124,,,18-05-2024 18:42:32,18-05-2024 18:44:00,1m - 28.580s,PASSED
"openBrowser("""")",Edge Chromium 124,,,18-05-2024 18:42:32,18-05-2024 18:42:37,5.058s,PASSED
"navigateToUrl(""https://www.saucedemo.com/v1/"")",Edge Chromium 124,,,18-05-2024 18:42:37,18-05-2024 18:42:39,1.806s,PASSED
maximizeWindow(),Edge Chromium 124,,,18-05-2024 18:42:39,18-05-2024 18:42:39,0.151s,PASSED
