Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Ts_3NavRemove,Edge Chromium 124,,,18-05-2024 18:44:07,18-05-2024 18:45:51,1m - 44.232s,PASSED
,,,,,,,
Test Cases/NavigationJpet,Edge Chromium 124,,,18-05-2024 18:44:07,18-05-2024 18:45:37,1m - 29.718s,PASSED
"openBrowser("""")",Edge Chromium 124,,,18-05-2024 18:44:07,18-05-2024 18:44:14,6.587s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Edge Chromium 124,,,18-05-2024 18:44:14,18-05-2024 18:44:16,1.716s,PASSED
"click(findTestObject(""Object Repository/NavigationJpet/Page_JPetStore Demo/a_Enter the Store""))",Edge Chromium 124,,,18-05-2024 18:44:16,18-05-2024 18:44:17,1.715s,PASSED
"click(findTestObject(""Object Repository/NavigationJpet/Page_JPetStore Demo/a_Sign In""))",Edge Chromium 124,,,18-05-2024 18:44:17,18-05-2024 18:44:18,0.837s,PASSED
"setText(findTestObject(""Object Repository/NavigationJpet/Page_JPetStore Demo/input_Need a user name and password_username""), ""mohan1"")",Edge Chromium 124,,,18-05-2024 18:44:18,18-05-2024 18:45:21,1m - 3.392s,PASSED
"setEncryptedText(findTestObject(""Object Repository/NavigationJpet/Page_JPetStore Demo/input_Need a user name and password_password""), ""NXt0rM6HQe0="")",Edge Chromium 124,,,18-05-2024 18:45:21,18-05-2024 18:45:22,0.552s,PASSED
"click(findTestObject(""Object Repository/NavigationJpet/Page_JPetStore Demo/input_Need a user name and password_signon""))",Edge Chromium 124,,,18-05-2024 18:45:22,18-05-2024 18:45:23,0.996s,PASSED
"click(findTestObject(""Object Repository/NavigationJpet/Page_JPetStore Demo/img""))",Edge Chromium 124,,,18-05-2024 18:45:23,18-05-2024 18:45:24,0.696s,PASSED
"click(findTestObject(""Object Repository/NavigationJpet/Page_JPetStore Demo/a_FI-SW-01""))",Edge Chromium 124,,,18-05-2024 18:45:24,18-05-2024 18:45:25,0.816s,PASSED
"click(findTestObject(""Object Repository/NavigationJpet/Page_JPetStore Demo/a_EST-1""))",Edge Chromium 124,,,18-05-2024 18:45:25,18-05-2024 18:45:26,1.113s,PASSED
"click(findTestObject(""Object Repository/NavigationJpet/Page_JPetStore Demo/img_1""))",Edge Chromium 124,,,18-05-2024 18:45:26,18-05-2024 18:45:26,0.719s,PASSED
"click(findTestObject(""Object Repository/NavigationJpet/Page_JPetStore Demo/a_K9-BD-01""))",Edge Chromium 124,,,18-05-2024 18:45:26,18-05-2024 18:45:27,0.732s,PASSED
"click(findTestObject(""Object Repository/NavigationJpet/Page_JPetStore Demo/a_EST-6""))",Edge Chromium 124,,,18-05-2024 18:45:27,18-05-2024 18:45:28,0.973s,PASSED
"click(findTestObject(""Object Repository/NavigationJpet/Page_JPetStore Demo/img_1_2""))",Edge Chromium 124,,,18-05-2024 18:45:28,18-05-2024 18:45:29,0.736s,PASSED
"click(findTestObject(""Object Repository/NavigationJpet/Page_JPetStore Demo/a_RP-SN-01""))",Edge Chromium 124,,,18-05-2024 18:45:29,18-05-2024 18:45:30,0.774s,PASSED
"click(findTestObject(""Object Repository/NavigationJpet/Page_JPetStore Demo/a_EST-11""))",Edge Chromium 124,,,18-05-2024 18:45:30,18-05-2024 18:45:31,1.115s,PASSED
"click(findTestObject(""Object Repository/NavigationJpet/Page_JPetStore Demo/img_1_2_3""))",Edge Chromium 124,,,18-05-2024 18:45:31,18-05-2024 18:45:32,0.884s,PASSED
"click(findTestObject(""Object Repository/NavigationJpet/Page_JPetStore Demo/a_FL-DSH-01""))",Edge Chromium 124,,,18-05-2024 18:45:32,18-05-2024 18:45:32,0.739s,PASSED
"click(findTestObject(""Object Repository/NavigationJpet/Page_JPetStore Demo/a_EST-14""))",Edge Chromium 124,,,18-05-2024 18:45:32,18-05-2024 18:45:33,1.041s,PASSED
"click(findTestObject(""Object Repository/NavigationJpet/Page_JPetStore Demo/img_1_2_3_4""))",Edge Chromium 124,,,18-05-2024 18:45:33,18-05-2024 18:45:34,0.728s,PASSED
"click(findTestObject(""Object Repository/NavigationJpet/Page_JPetStore Demo/a_AV-CB-01""))",Edge Chromium 124,,,18-05-2024 18:45:34,18-05-2024 18:45:35,0.759s,PASSED
"click(findTestObject(""Object Repository/NavigationJpet/Page_JPetStore Demo/a_Sign Out""))",Edge Chromium 124,,,18-05-2024 18:45:35,18-05-2024 18:45:36,0.956s,PASSED
closeBrowser(),Edge Chromium 124,,,18-05-2024 18:45:36,18-05-2024 18:45:37,0.717s,PASSED
,,,,,,,
Test Cases/RemoveProducts,Edge Chromium 124,,,18-05-2024 18:45:37,18-05-2024 18:45:51,14.270s,PASSED
"openBrowser("""")",Edge Chromium 124,,,18-05-2024 18:45:37,18-05-2024 18:45:42,5.576s,PASSED
"navigateToUrl(""https://www.saucedemo.com/v1/"")",Edge Chromium 124,,,18-05-2024 18:45:42,18-05-2024 18:45:44,1.962s,PASSED
"click(findTestObject(""Object Repository/removeProducts/Page_Swag Labs/div_Accepted usernames are                s_40dcc1""))",Edge Chromium 124,,,18-05-2024 18:45:44,18-05-2024 18:45:45,0.535s,PASSED
"setText(findTestObject(""Object Repository/removeProducts/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_db77ac""), ""standard_user"")",Edge Chromium 124,,,18-05-2024 18:45:45,18-05-2024 18:45:46,0.819s,PASSED
"setEncryptedText(findTestObject(""Object Repository/removeProducts/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_3423e9""), ""qcu24s4901FyWDTwXGr6XA=="")",Edge Chromium 124,,,18-05-2024 18:45:46,18-05-2024 18:45:46,0.500s,PASSED
"click(findTestObject(""Object Repository/removeProducts/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_0dff71""))",Edge Chromium 124,,,18-05-2024 18:45:46,18-05-2024 18:45:47,1.383s,PASSED
"click(findTestObject(""Object Repository/removeProducts/Page_Swag Labs/button_ADD TO CART""))",Edge Chromium 124,,,18-05-2024 18:45:47,18-05-2024 18:45:48,0.443s,PASSED
"click(findTestObject(""Object Repository/removeProducts/Page_Swag Labs/div_Sauce Labs Backpack""))",Edge Chromium 124,,,18-05-2024 18:45:48,18-05-2024 18:45:49,0.745s,PASSED
"click(findTestObject(""Object Repository/removeProducts/Page_Swag Labs/button_REMOVE""))",Edge Chromium 124,,,18-05-2024 18:45:49,18-05-2024 18:45:49,0.410s,PASSED
"click(findTestObject(""Object Repository/removeProducts/Page_Swag Labs/button_Open Menu""))",Edge Chromium 124,,,18-05-2024 18:45:49,18-05-2024 18:45:50,0.538s,PASSED
"click(findTestObject(""Object Repository/removeProducts/Page_Swag Labs/a_Logout""))",Edge Chromium 124,,,18-05-2024 18:45:50,18-05-2024 18:45:50,0.578s,PASSED
closeBrowser(),Edge Chromium 124,,,18-05-2024 18:45:50,18-05-2024 18:45:51,0.666s,PASSED
