Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Alltests,Edge Chromium 124,,,19-05-2024 13:52:22,19-05-2024 13:58:51,6m - 29.654s,PASSED
,,,,,,,
Test Cases/login,Edge Chromium 124,,,19-05-2024 13:52:22,19-05-2024 13:52:37,15.077s,PASSED
"openBrowser("""")",Edge Chromium 124,,,19-05-2024 13:52:22,19-05-2024 13:52:29,6.800s,PASSED
"navigateToUrl(""https://www.saucedemo.com/v1/"")",Edge Chromium 124,,,19-05-2024 13:52:29,19-05-2024 13:52:31,2.192s,PASSED
"setText(findTestObject(""Object Repository/order/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_db77ac""), ""standard_user"")",Edge Chromium 124,,,19-05-2024 13:52:31,19-05-2024 13:52:32,0.850s,PASSED
"setEncryptedText(findTestObject(""Object Repository/order/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_3423e9""), ""qcu24s4901FyWDTwXGr6XA=="")",Edge Chromium 124,,,19-05-2024 13:52:32,19-05-2024 13:52:32,0.509s,PASSED
"click(findTestObject(""Object Repository/order/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_0dff71""))",Edge Chromium 124,,,19-05-2024 13:52:32,19-05-2024 13:52:34,1.906s,PASSED
"click(findTestObject(""Object Repository/order/Page_Swag Labs/button_Open Menu""))",Edge Chromium 124,,,19-05-2024 13:52:34,19-05-2024 13:52:35,0.436s,PASSED
"click(findTestObject(""Object Repository/order/Page_Swag Labs/a_Logout""))",Edge Chromium 124,,,19-05-2024 13:52:35,19-05-2024 13:52:36,0.922s,PASSED
closeBrowser(),Edge Chromium 124,,,19-05-2024 13:52:36,19-05-2024 13:52:37,1.137s,PASSED
,,,,,,,
Test Cases/login2,Edge Chromium 124,,,19-05-2024 13:52:37,19-05-2024 13:52:52,15.651s,PASSED
"openBrowser("""")",Edge Chromium 124,,,19-05-2024 13:52:37,19-05-2024 13:52:42,5.425s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Edge Chromium 124,,,19-05-2024 13:52:42,19-05-2024 13:52:44,2.067s,PASSED
"click(findTestObject(""Object Repository/login2/Page_JPetStore Demo/a_Enter the Store""))",Edge Chromium 124,,,19-05-2024 13:52:44,19-05-2024 13:52:46,1.719s,PASSED
"click(findTestObject(""Object Repository/login2/Page_JPetStore Demo/a_Sign In""))",Edge Chromium 124,,,19-05-2024 13:52:46,19-05-2024 13:52:47,0.779s,PASSED
"setText(findTestObject(""Object Repository/login2/Page_JPetStore Demo/input_Need a user name and password_username""), ""mohan1"")",Edge Chromium 124,,,19-05-2024 13:52:47,19-05-2024 13:52:48,0.918s,PASSED
"setEncryptedText(findTestObject(""Object Repository/login2/Page_JPetStore Demo/input_Need a user name and password_password""), ""NXt0rM6HQe0="")",Edge Chromium 124,,,19-05-2024 13:52:48,19-05-2024 13:52:48,0.548s,PASSED
"click(findTestObject(""Object Repository/login2/Page_JPetStore Demo/input_Need a user name and password_signon""))",Edge Chromium 124,,,19-05-2024 13:52:48,19-05-2024 13:52:49,0.957s,PASSED
